PAGE_SIZE,RING_SIZE,NUM_REQUESTS,CLIENT_THREADS,AverageRate(it/s),AverageGbps
512,768,1048576,1,193642.86,3.17
512,768,1048576,2,340210.43,5.57
512,768,1048576,4,549401.77,9.00
512,768,1048576,8,765767.82,12.55
512,768,1048576,16,1441601.61,23.62
512,768,1048576,32,2154512.14,35.30
512,768,1048576,64,2812039.41,46.07
512,768,1048576,128,3056167.31,50.07
512,768,1048576,256,2744161.29,44.96
512,896,1048576,1,180449.86,2.96
512,896,1048576,2,316917.72,5.19
512,896,1048576,4,447379.64,7.33
512,896,1048576,8,937598.06,15.36
512,896,1048576,16,1492618.01,24.46
512,896,1048576,32,2066906.96,33.86
512,896,1048576,64,3289335.89,53.89
512,896,1048576,128,2773400.22,45.44
512,896,1048576,256,2804014.69,45.94
512,1024,1048576,1,180482.12,2.96
512,1024,1048576,2,335012.03,5.49
512,1024,1048576,4,603464.56,9.89
512,1024,1048576,8,1014697.15,16.62
512,1024,1048576,16,1741472.49,28.53
512,1024,1048576,32,2250125.46,36.87
512,1024,1048576,64,3279674.26,53.73
512,1024,1048576,128,2977696.81,48.79
512,1024,1048576,256,2718095.03,44.53
1024,128,1048576,1,158324.60,5.19
1024,128,1048576,2,233096.13,7.64
1024,128,1048576,4,312241.17,10.23
1024,128,1048576,8,671253.47,22.00
1024,128,1048576,16,1053410.31,34.52
1024,128,1048576,32,2054843.85,67.33
1024,128,1048576,64,2451038.33,80.32
1024,128,1048576,128,2479303.21,81.24
1024,128,1048576,256,2611977.92,85.59
1024,256,1048576,1,160685.09,5.27
1024,256,1048576,2,194597.19,6.38
1024,256,1048576,4,406977.26,13.34
1024,256,1048576,8,666378.79,21.84
1024,256,1048576,16,1260466.62,41.30
1024,256,1048576,32,2152451.13,70.53
1024,256,1048576,64,2719130.20,89.10
1024,256,1048576,128,2790402.49,91.44
1024,256,1048576,256,2684113.66,87.95
1024,384,1048576,1,121439.55,3.98
1024,384,1048576,2,309784.84,10.15
1024,384,1048576,4,396312.63,12.99
1024,384,1048576,8,736077.07,24.12
1024,384,1048576,16,1269841.71,41.61
1024,384,1048576,32,1758728.80,57.63
1024,384,1048576,64,2562021.29,83.95
1024,384,1048576,128,2302669.43,75.45
