Timestamp,bucket,client_throughput_gbit_per_second,server_throughput_gbit_per_second,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD,SERVER_ADDR,QUEUE_DEPTH,INFLIGHT_OPS,PAGE_SIZE,PORT,VERBOSE,USE_ALIGNED_ALLOCATIONS,HALF_DUPLEX_MODE,RUN_DURATION_SECONDS
2024-10-06_09-30-01,6,39.43917,39.43169,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,7,38.7513,38.74437,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,8,39.114,39.123039999999996,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,9,38.84013,38.83742,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,10,38.80189,38.79579,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,11,39.10101,39.09305,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,12,39.25381,39.272490000000005,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,13,39.094390000000004,39.08682,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,14,39.05706,39.06397,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,15,39.10757,39.09398,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,16,38.69417,38.69486,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,17,39.22984,39.24221,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,18,38.82646,38.82082,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-01,19,39.2027,39.19712,0,1,1,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,1,37.427730000000004,37.47516,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,2,39.1336,39.117,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,3,39.00609,39.02427,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,4,39.13188,39.11154,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,5,39.00784,39.0232,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,6,39.18126,39.171189999999996,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,7,38.92915,38.939080000000004,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,8,38.913160000000005,38.90261,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,9,39.00059,39.01447,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,10,38.83466,38.8303,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,11,38.85507,38.84757,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,12,38.79179,38.789770000000004,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,13,39.04596,39.04562,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,14,39.02528,39.02279,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,15,39.28117,39.29173,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,16,38.76701,38.76079,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,17,39.42454,39.42586,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,18,38.75618,38.779579999999996,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-23,19,38.80002,38.78243,0,1,1,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,1,40.03056,40.318690000000004,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,2,39.83567,40.00489,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,3,39.62646,39.623580000000004,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,4,39.64328,39.6839,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,5,39.71682,39.70726,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,6,39.74299,39.74722,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,7,39.79641,39.78225,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,8,39.69816,39.70055,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,9,39.614779999999996,39.6074,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,10,39.61677,39.61767,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,11,39.64613,39.66002,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,12,39.632,39.60439,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,13,39.59458,39.65275,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,14,39.558370000000004,39.53174,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,15,39.71211,39.71172,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,16,39.81321,39.80603,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,17,39.64489,39.63863,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,18,39.72106,39.72453,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-30-45,19,39.64659,39.67687,1,0,0,0,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,1,36.69006,36.94289,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,2,36.22373,36.1906,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,3,36.268879999999996,36.30955,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,4,36.17315,36.15754,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,5,36.20308,36.17582,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,6,36.22706,36.2526,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
2024-10-06_09-31-07,7,36.30127,36.307249999999996,1,0,0,1,2,4,10.0.1.190,2048,1024,4096,12345,0,1,1,20
